Pos: x: -2.08188 y: 0.446159 z: 1.69252 | UV: x:0.872481 y: 0.892353 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 2.43069 | UV: x:0.846229 y: 0.836978 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.244301 z: 1.89438 | UV: x:0.863367 y: 0.893277 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.1147 z: 2.14874 | UV: x:0.854484 y: 0.893825 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 2.43069 | UV: x:0.846229 y: 0.836978 | Normal: x:-1 y: 0 z: 0
Pos: x: 1.25617 y: 1.11269 z: -2.08143 | UV: x:0.633136 y: 0.503067 | Normal: x:-0 y: 0.809017 z: 0.587785
Pos: x: 0.968015 y: 1.11269 z: -2.08143 | UV: x:0.589333 y: 0.533646 | Normal: x:-0 y: 0.809017 z: 0.587785
Pos: x: 0.968015 y: 1.10077 z: -2.06951 | UV: x:0.589333 y: 0.533646 | Normal: x:-1e-06 y: 0.707107 z: 0.707107
Pos: x: 0.968015 y: 1.0822 z: -2.05093 | UV: x:0.584043 y: 0.526068 | Normal: x:-1e-06 y: 0.587785 z: 0.809017
Pos: x: 1.25617 y: 1.0822 z: -2.05093 | UV: x:0.627845 y: 0.495489 | Normal: x:-1e-06 y: 0.587785 z: 0.809017
Pos: x: 1.25617 y: 1.09864 z: -2.06737 | UV: x:0.631508 y: 0.500736 | Normal: x:-1e-06 y: 0.707107 z: 0.707107
Pos: x: -0.968015 y: 1.73298 z: 0.294811 | UV: x:0.740189 y: 0.167653 | Normal: x:-1 y: -0 z: 0
Pos: x: -0.968015 y: 1.73298 z: -0.294811 | UV: x:0.707426 y: 0.156121 | Normal: x:-1 y: 0 z: 0
Pos: x: -0.968015 y: 0.924926 z: -0.366239 | UV: x:0.716848 y: 0.106057 | Normal: x:-1 y: 0 z: 0
Pos: x: -0.968015 y: 0.924926 z: 0.366239 | UV: x:0.762628 y: 0.12133 | Normal: x:-1 y: -0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 1.51826 | UV: x:0.891802 y: 0.889067 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.700515 z: 1.56292 | UV: x:0.881924 y: 0.890998 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 2.43069 | UV: x:0.846229 y: 0.836978 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.1147 z: 2.14874 | UV: x:0.854484 y: 0.893825 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.070043 z: 2.43069 | UV: x:0.845719 y: 0.894029 | Normal: x:-1 y: 0 z: 0
Pos: x: -2.08188 y: 0.982471 z: 2.43069 | UV: x:0.846229 y: 0.836978 | Normal: x:-1 y: 0 z: 0
Pos: x: -1.30335 y: 0.394686 z: 1.62167 | UV: x:0.876358 y: 0.937947 | Normal: x:0 y: -0.587785 z: -0.809017
Pos: x: -1.30335 y: 0.173454 z: 1.84291 | UV: x:0.866004 y: 0.938598 | Normal: x:0 y: -0.809017 z: -0.587785
Pos: x: -1.99538 y: 0.173454 z: 1.84291 | UV: x:0.864378 y: 0.900191 | Normal: x:0 y: -0.809017 z: -0.587785
Pos: x: -1.99538 y: 0.394686 z: 1.62167 | UV: x:0.874011 y: 0.89924 | Normal: x:0 y: -0.587785 z: -0.809017
Pos: x: -0.54748 y: 4.39962 z: -2.63334 | UV: x:0.484653 y: 0.284875 | Normal: x:-0.093078 y: 0.609463 z: -0.787332
Pos: x: -0.525608 y: 3.94653 z: -2.92694 | UV: x:0.475576 y: 0.248219 | Normal: x:-0.087699 y: 0.444261 z: -0.891595
Pos: x: -0.834904 y: 3.89084 z: -2.81068 | UV: x:0.496406 y: 0.246983 | Normal: x:-0.496979 y: 0.379871 z: -0.780199
